Restaurant,Author,Rating,Review,Processed Review,sentiment_textblob,sentiment_vader,ActualSentiment
Mr Dakgalbi @ IOI City Mall,Gillian Benjamin,5,Me and husband love this place!!! Don’t let some of the reviews pull you back from coming here. I seriously recommended anyone to try this place. It’s delicious and the service is awesome. Kudos to the staff there. I am amazed how well they cook and handle the operation. Like seriously they deserve a good well done job! I would award them again when I’m there on our next visit!!,husband love place let review pull back coming seriously recommended anyone try place delicious service awesome kudos staff amazed well cook handle operation like seriously deserve good well done job would award next visit,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Sekai Peace,5,"Great service. The staff swiftly topup my banchan right after i finish it. They cook carefully for us. Even explain how to order and what they recommend.
Cleanliness is good. Taste is awesome. Staff service is great! Will definitely come again!!",great service staff swiftly topup banchan right finish cook carefully u even explain order recommend cleanliness good taste awesome staff service great definitely come,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Norsa'adah,3,Located outside of the mall. The space in the restaurant is small. The Indian waiter who took the order did not write and only relied on memories. He missed two orders and one order did not arrive till the end. The owners are truly Korean. The ramen has similar taste as our maggi. The pan cake is nice.,located outside mall space restaurant small indian waiter took order write relied memory missed two order one order arrive till end owner truly korean ramen similar taste maggi pan cake nice,positive,positive,neutral
Mr Dakgalbi @ IOI City Mall,Demi Jing,1,Wasn’t planning to give a review at first but my family and I got diarrhoea the next day after having dinner there. There’s a lot of flies in the restaurant. The taste is below average. Food is cooked by foreign workers.,planning give review first family got diarrhoea next day dinner lot fly restaurant taste average food cooked foreign worker,positive,neutral,negative
Mr Dakgalbi @ IOI City Mall,Aqilah Zulkarnain,5,"Ahh, such a refreshing taste of good korean food, the best place to eat korean fried rice with dakgalbi with free flow side dishes like kimchi and pickled radish 🤤

They come and cook the food for u on the table, and although it does take quite some time, but its def worth it.

While waiting for the main food (rice & chicken) to be fully cooked, we ate the side dishes like kimchi pancake, cheese toppoki and the fried mandu 🥟 loved them all!",ahh refreshing taste good korean food best place eat korean fried rice dakgalbi free flow side dish like kimchi pickled radish come cook food u table although take quite time def worth waiting main food rice chicken fully cooked ate side dish like kimchi pancake cheese toppoki fried mandu loved,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Carol,5,"The restaurant is very big and can accommodate a lot of people. Very clean too. Food price ranges from RM12-RM129. Free cold water and some side dishes. Fried rice is very popular here. Recommended!🌟

P/s: If you write a review on Google, you'll get 1 free ramen. Like I did 😂😂",restaurant big accommodate lot people clean food price range free cold water side dish fried rice popular recommended write review google get 1 free ramen like,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Quah Chong Jin,5,"The best of the best. Even i had been here countless till the staffa could recognise me, still the taste is so good. My favourite dishes, dakgalbi with 3 ramen! Price is affordable to most of us compare with other Korean food!",best best even countless till staffa could recognise still taste good favourite dish dakgalbi 3 ramen price affordable u compare korean food,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Nor Zulaikha,5,good service & food. love it,good service food love,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Abe Luther,5,"Very unique dining experience. Fried rice with cheese and noodles are cook before patron. Not too spicy or oily, just a good balance. Great taste and recommended!",unique dining experience fried rice cheese noodle cook patron spicy oily good balance great taste recommended,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,BN _TBN,3,The food was decent but when i first got here with my fam we were seated on a seat without the stove thing then after we called out the staff they told us they will switch us to a new seat but after almost half an hour then they finally did. The elderly manager i think was nice,food decent first got fam seated seat without stove thing called staff told u switch u new seat almost half hour finally elderly manager think nice,positive,positive,neutral
